id,qb,p1,p2,opp_p1,sal,proj,actual,diff
52581,Lamar Jackson,Mark Andrews,Marquise Brown,JuJu Smith-Schuster,27100,56.5,46.14,0.816637168
52586,Lamar Jackson,Mark Andrews,Marquise Brown,Diontae Johnson,24800,53.5,36.34,0.679252336
52589,Lamar Jackson,Mark Andrews,Marquise Brown,Vance McDonald,25300,49.1,36.04,0.73401222
52903,Patrick Mahomes,Sammy Watkins,Travis Kelce,Tyrell Williams,30300,63.9,72.82,1.139593114
52906,Patrick Mahomes,Sammy Watkins,Travis Kelce,Darren Waller,29800,63.5,69.02,1.086929134
52911,Patrick Mahomes,Sammy Watkins,Mecole Hardman,Tyrell Williams,27000,59.4,66.72,1.123232323
52915,Patrick Mahomes,Sammy Watkins,Mecole Hardman,Darren Waller,26500,59,62.92,1.066440678
49793,Aaron Rodgers,Davante Adams,Allen Lazard,Dallas Goedert,29800,59.9,68.2,1.138564274
49798,Aaron Rodgers,Davante Adams,Allen Lazard,Jalen Reagor,29100,59.5,64.1,1.077310924
49808,Aaron Rodgers,Davante Adams,Robert Tonyan,Dallas Goedert,30100,59.2,73.6,1.243243243
49812,Aaron Rodgers,Davante Adams,Robert Tonyan,Jalen Reagor,29400,58.8,69.5,1.181972789
49804,Aaron Rodgers,Davante Adams,Allen Lazard,Zach Ertz,29300,56.7,63.2,1.114638448
49819,Aaron Rodgers,Davante Adams,Robert Tonyan,Zach Ertz,29600,56,68.6,1.225
52874,Lamar Jackson,Mark Andrews,Marquise Brown,Sammy Watkins,28500,61.5,39.08,0.635447154
52877,Lamar Jackson,Mark Andrews,Marquise Brown,Travis Kelce,29400,61.2,42.58,0.695751634
52880,Lamar Jackson,Mark Andrews,Marquise Brown,Demarcus Robinson,28100,56.9,41.98,0.737785589
52882,Lamar Jackson,Mark Andrews,Marquise Brown,Mecole Hardman,27700,56.8,47.58,0.837676056
52659,Matt Ryan,Julio Jones,Austin Hooper,Larry Fitzgerald,28600,65.7,77.34,1.17716895
50919,Deshaun Watson,Will Fuller V,Brandin Cooks,Davante Adams,29700,65.1,82.76,1.271274962
52665,Matt Ryan,Julio Jones,Calvin Ridley,Larry Fitzgerald,27700,64.6,68.44,1.059442724
50932,Deshaun Watson,Will Fuller V,Darren Fells,Davante Adams,29100,62.3,73.26,1.175922953
50947,Deshaun Watson,Will Fuller V,Randall Cobb,Davante Adams,28900,62.3,86.76,1.392616372
50922,Deshaun Watson,Will Fuller V,Brandin Cooks,Robert Tonyan,26800,56.6,48.86,0.863250883
50928,Deshaun Watson,Will Fuller V,Brandin Cooks,Marquez Valdes-Scantling,26200,55.9,45.56,0.815026834
50937,Deshaun Watson,Will Fuller V,Darren Fells,Robert Tonyan,26200,53.8,39.36,0.731598513
50951,Deshaun Watson,Will Fuller V,Randall Cobb,Robert Tonyan,26000,53.8,52.86,0.982527881
52679,Matt Ryan,Julio Jones,Mohamed Sanu,Larry Fitzgerald,28200,62.7,60.04,0.957575758
52661,Matt Ryan,Julio Jones,Austin Hooper,KeeSean Johnson,27600,58.8,69.84,1.187755102
52663,Matt Ryan,Julio Jones,Austin Hooper,Damiere Byrd,27700,58.4,74.44,1.274657534
52667,Matt Ryan,Julio Jones,Calvin Ridley,KeeSean Johnson,26700,57.7,60.94,1.056152513
52672,Matt Ryan,Julio Jones,Calvin Ridley,Damiere Byrd,26800,57.3,65.54,1.143804538
52683,Matt Ryan,Julio Jones,Mohamed Sanu,KeeSean Johnson,27200,55.8,52.54,0.941577061
52687,Matt Ryan,Julio Jones,Mohamed Sanu,Damiere Byrd,27300,55.4,57.14,1.031407942
50954,Deshaun Watson,Will Fuller V,Randall Cobb,Marquez Valdes-Scantling,25400,53.1,49.56,0.933333333
50943,Deshaun Watson,Will Fuller V,Darren Fells,Marquez Valdes-Scantling,25600,53.1,36.06,0.679096045
52669,Kyler Murray,Larry Fitzgerald,KeeSean Johnson,Evan Engram,24700,54.3,10.86,0.2
52673,Kyler Murray,Larry Fitzgerald,KeeSean Johnson,Golden Tate,24000,54.3,20.76,0.382320442
52677,Kyler Murray,Larry Fitzgerald,KeeSean Johnson,Darius Slayton,23300,50.1,13.56,0.270658683
52931,Lamar Jackson,Mark Andrews,Marquise Brown,Larry Fitzgerald,25500,54.4,77.58,1.426102941
52934,Lamar Jackson,Mark Andrews,Marquise Brown,Christian Kirk,25400,54.3,79.08,1.456353591
52937,Lamar Jackson,Mark Andrews,Marquise Brown,KeeSean Johnson,24900,52,70.28,1.351538462
49779,Kyler Murray,DeAndre Hopkins,Christian Kirk,Dallas Goedert,27800,54.1,70.34,1.300184843
