,start_lap,end_lap,reason,comment,race_name,series
291,77,79,Spin,#8 Spin Turn 4,Ag-Pro 300,2
292,5,7,Accident,"#17, 26, 07 Incident Backstretch",Steakhouse Elite 200,2
293,14,16,Accident,#26 Incident Turn 3,Steakhouse Elite 200,2
294,22,25,Competition,Competition Caution,Steakhouse Elite 200,2
295,46,52,Accident,#5 Incident Frontstretch/Stage 1 Conclusion,Steakhouse Elite 200,2
296,84,87,Accident,"#78, 0 Incident Turn 1",Steakhouse Elite 200,2
297,92,99,Competition,Stage 2 Conclusion,Steakhouse Elite 200,2
298,127,131,Accident,"#52, 07 Incident Backstretch",Steakhouse Elite 200,2
299,133,137,Accident,#07 Incident Turn 4,Steakhouse Elite 200,2
300,143,146,Spin,#6 Spin Turn 2,Steakhouse Elite 200,2
301,17,19,Competition,Stage 1 Conclusion,Verizon 200 at the Brickyard,1
302,37,39,Competition,Stage 2 Conclusion,Verizon 200 at the Brickyard,1
303,42,43,Debris,Debris Turn 6,Verizon 200 at the Brickyard,1
304,74,76,Debris,Debris Turn 6,Verizon 200 at the Brickyard,1
305,79,88,Accident,"#15, 18, 20, 22, 24, 37, 42, 77, 99 Incident Turn 6 [Red Flag: 00:19:14]",Verizon 200 at the Brickyard,1
306,90,93,Accident,"#3, 7, 8, 19, 34, 41, 48 Incident Turn 6 [Red Flag: 00:04:08]",Verizon 200 at the Brickyard,1
307,42,45,Accident,"#10, 7, 38, 77, 78 Incident Backstretch [Red Flag: 00:06:30]",Food City Dirt Race,1
308,49,50,Accident,"#6, 24, 4, 14 Incident Backstretch / Competition ",Food City Dirt Race,1
309,54,59,Accident,"#5, 20, 4, 42, 14, 47 Incident Turn 2",Food City Dirt Race,1
310,101,101,Competition,Stage 1 Conclusion,Food City Dirt Race,1
311,151,151,Competition,Competition,Food City Dirt Race,1
312,154,158,Accident,"#00, 3, 5, 12, 18, 34, 37, 48, 51, 53 Incident Frontstretch",Food City Dirt Race,1
313,161,169,Accident,"#2, 14 Incident Frontstretch",Food City Dirt Race,1
314,187,191,Accident,"#51, 53 Incident Turn 3",Food City Dirt Race,1
315,201,201,Competition,Stage 2 Conclusion,Food City Dirt Race,1
316,247,251,Spin,#66 Spin Frontstretch,Food City Dirt Race,1
317,5,7,Spin,#36 Spin Turn 4,Beef. It's What's For Dinner. 300,2
318,12,14,Unknown,#92 Stopped On Track,Beef. It's What's For Dinner. 300,2
319,21,23,Accident,#92 Incident Turn 4,Beef. It's What's For Dinner. 300,2
320,32,36,Competition,Stage 1 Conclusion,Beef. It's What's For Dinner. 300,2
321,62,65,Accident,"#19, 36, 17, 2 Incident Frontstretch / Stage 2 Conclusion [Red: 00:13:47]",Beef. It's What's For Dinner. 300,2
322,76,83,Accident,"#1, 6, 9, 0, 13, 39, 74, 52, 15 Incident Frontstretch",Beef. It's What's For Dinner. 300,2
323,101,103,Accident,"#90, 47 Incident Frontstretch",Beef. It's What's For Dinner. 300,2
324,106,112,Accident,"#54, 18, 7, 98, 11, 10, 68, 66, 23, 13, 8, 48, 51, 61 Incident Turn 3 ",Beef. It's What's For Dinner. 300,2
325,115,120,Accident,"#4, 10,  44 Incident Frontstretch",Beef. It's What's For Dinner. 300,2
326,26,30,Accident,#8 and 16 Incident in Turn 3,Sparks 300 at Talladega,2
327,52,54,Competition,Stage 2 Conclusion [Red Flag: 5:38],Sparks 300 at Talladega,2
328,76,79,Unknown,#15 Stalled on Pit Road,Sparks 300 at Talladega,2
329,90,93,Accident,"#02, 2, 9, 10, 19, 26, 90 Incident in Turn 3 [Red Flag: 15:20]",Sparks 300 at Talladega,2
330,103,107,Spin,"#02, 20, 31, 36, 54, 92, 98 Spin in Turn 4",Sparks 300 at Talladega,2
331,86,90,Accident,"#07, 1, 19, 26, 28, 54, 90 Incident Backstretch/Weather",Ag-Pro 300,2
332,22,25,Competition,Competition Caution,Ambetter Get Vaccinated 200,2
333,27,30,Accident,"#02, 8, 19, 98 Incident on the frontstretch",Ambetter Get Vaccinated 200,2
334,46,52,Competition,Stage 1 Conclusion,Ambetter Get Vaccinated 200,2
