player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Hunter Henry,Main-20-FD-13,6000,TE,LAC,8.9,0,0,47,24.75,-2.5,1,0.112359551
Robert Tonyan,Main-20-FD-13,5900,TE,GB,8.9,0,0,50,29,-8,11.9,1.337078652
Dalton Schultz,Main-20-FD-05,5300,TE,DAL,8.9,0,0,52,29.8,-7.5,1.1,0.123595506
Evan Engram,Main-20-FD-03,5900,TE,NYG,8.9,0,0,44,20.5,3,3.7,0.415730337
Jared Cook,Main-20-FD-01,5900,TE,NO,8.9,0,1.78,48.5,26.5,-4.5,10.5,1.179775281
Logan Thomas,Main-21-FD-01,5600,TE,WAS,8.8,8.6,0,44.5,22.75,-1,10.5,1.193181818
Mike Gesicki,Main-20-FD-17,5900,TE,MIA,8.8,0,0,42.5,23,-3.5,7.2,0.818181818
Evan Engram,Main-20-FD-13,6000,TE,NYG,8.8,0,0,48.5,18.75,11,5.2,0.590909091
Evan Engram,Main-20-FD-05,5500,TE,NYG,8.8,0,0,52,22.3,7.5,9,1.022727273
Dallas Goedert,Main-19-FD-16,5900,TE,PHI,8.8,0,0,47,22.5,2,19.6,2.227272727
Jared Cook,Main-19-FD-02,6000,TE,NO,8.8,0,0,52.5,25.3,2,3.5,0.397727273
Evan Engram,Main-20-FD-14,5700,TE,NYG,8.7,0,0,47,22.25,2.5,2.8,0.32183908
Evan Engram,Main-20-FD-10,5600,TE,NYG,8.7,0,0,46,20.5,5,2.5,0.287356322
Hayden Hurst,Main-20-FD-01,5200,TE,ATL,8.7,0,1.74,49.5,25.3,-1,5.3,0.609195402
T.J. Hockenson,Main-20-FD-01,5300,TE,DET,8.7,0,1.74,42.5,22.5,-2.5,14.1,1.620689655
Jared Cook,Main-20-FD-15,5600,TE,NO,8.6,0,0,52,24.5,3,3.9,0.453488372
Hunter Henry,Main-20-FD-10,5500,TE,LAC,8.6,0,0,48.5,23.5,1.5,11,1.279069767
Jonnu Smith,Main-20-FD-09,5700,TE,TEN,8.6,0,0,46.5,26.5,-6.5,10.2,1.186046512
Jimmy Graham,Main-19-FD-05,5500,TE,GB,8.6,0,0,46.5,21.5,3.5,5.6,0.651162791
Vance McDonald,Main-19-FD-03,5900,TE,PIT,8.6,0,0,44.5,19.3,6,1.5,0.174418605
T.J. Hockenson,Main-21-FD-01,5700,TE,DET,8.5,9,0,45.5,19,7.5,21.7,2.552941176
Irv Smith Jr.,Main-20-FD-17,5600,TE,MIN,8.5,0,0,54,28.5,-3,4,0.470588235
Evan Engram,Main-20-FD-09,5500,TE,NYG,8.5,0,0,43,20,3,13.3,1.564705882
Tyler Higbee,Main-20-FD-05,6000,TE,LAR,8.5,0,0,45,26,-7,2.2,0.258823529
Jack Doyle,Main-19-FD-17,6000,TE,IND,8.5,0,0,41.5,23.5,-5.5,1.1,0.129411765
T.J. Hockenson,Main-20-FD-02,5600,TE,DET,8.5,0,1.7,51,22,7,8.2,0.964705882
Evan Engram,Main-20-FD-17,5400,TE,NYG,8.4,0,0,44.5,21.5,1.5,2.7,0.321428571
Hunter Henry,Main-20-FD-11,5500,TE,LAC,8.4,0,0,47,28.5,-10,12.8,1.523809524
Eric Ebron,Main-20-FD-10,5400,TE,PIT,8.4,0,0,45.5,26,-6.5,4.8,0.571428571
Noah Fant,Main-20-FD-08,5700,TE,DEN,8.4,0,0,44.5,20.8,3,8.2,0.976190476
Hunter Henry,Main-19-FD-07,5700,TE,LAC,8.4,0,0,42.5,19.8,3,12.7,1.511904762
Vance McDonald,Main-19-FD-02,5600,TE,PIT,8.4,0,0,47,25.5,-4,19.3,2.297619048
T.J. Hockenson,Main-20-FD-03,5400,TE,DET,8.4,0,0,55.5,25.5,4.5,7.3,0.869047619
Tyler Higbee,Main-20-FD-02,5800,TE,LAR,8.4,0,1.68,46,22,2,25.9,3.083333333
Dallas Goedert,Main-20-FD-02,5500,TE,PHI,8.4,0,1.68,46,24,-2,5,0.595238095
Hunter Henry,Main-20-FD-02,6100,TE,LAC,8.4,0,1.4,47,19.3,8.5,11.3,1.345238095
Jonnu Smith,Main-20-FD-17,5300,TE,TEN,8.3,0,0,55.5,31.3,-7,1.3,0.156626506
Rob Gronkowski,Main-20-FD-15,6300,TE,TB,8.3,0,0,48.5,27.25,-6,4.4,0.530120482
Rob Gronkowski,Main-20-FD-14,6200,TE,TB,8.3,0,0,52.5,30,-7.5,6.7,0.807228916
Evan Engram,Main-20-FD-12,5600,TE,NYG,8.3,0,0,45,25.8,-6.5,13.9,1.674698795
Rob Gronkowski,Main-20-FD-12,6200,TE,TB,8.3,0,0,56,26.3,3.5,13.6,1.638554217
Rob Gronkowski,Main-20-FD-10,6100,TE,TB,8.3,0,0,49.5,27.8,-6,12.1,1.457831325
Eric Ebron,Main-20-FD-06,5200,TE,PIT,8.3,0,0,50,26.5,-3,1.9,0.228915663
Austin Hooper,Main-19-FD-03,5800,TE,ATL,8.3,0,0,48,23.5,1,21.6,2.602409639
O.J. Howard,Main-19-FD-03,5800,TE,TB,8.3,0,0,48,26.5,-5,8.1,0.975903614
Logan Thomas,Main-20-FD-03,4900,TE,WAS,8.3,0,0,45,18.8,7.5,5.1,0.614457831
Robert Tonyan,Main-21-FD-01,5400,TE,GB,8.2,6.2,0,50,27.25,-4.5,1.8,0.219512195
Dallas Goedert,Main-21-FD-01,5900,TE,PHI,8.2,7.8,0,48,22.25,3.5,12.2,1.487804878
Austin Hooper,Main-20-FD-16,5100,TE,CLE,8.2,0,0,45,25.8,-6.5,10.6,1.292682927
