,race__race_name,start_lap,end_lap,reason,comment
235,New Holland 250,123,127,Accident,"#74, 99 Incident Backstretch"
236,New Holland 250,129,132,Accident,"#78, 15 Incident Fronstretch"
237,New Holland 250,134,137,Accident,#54 Incident Turn 2
238,Tennessee Lottery 250,47,53,Competition,Stage 1 Conclusion
239,Tennessee Lottery 250,71,75,Accident,"#99, #66 Incident Frontstretch"
240,Tennessee Lottery 250,92,96,Competition,Stage 2 Conclusion
241,Tennessee Lottery 250,142,148,Debris,Debris on track
242,Tennessee Lottery 250,156,159,Accident,"#17, #48 Incident Turn 4"
243,Tennessee Lottery 250,161,168,Accident,"#1, #7, #18, #22, #54 Incident Frontstretch"
244,Tennessee Lottery 250,175,179,Accident,"#9, #11, #39 Incident Turn 4"
245,Tennessee Lottery 250,183,187,Accident,"#4, #39 Incident Turn 2"
246,EchoPark 250,22,24,Competition,Competition Caution
247,EchoPark 250,37,39,Spin,#90 Spin Turn 2
248,EchoPark 250,41,50,Accident,"#19, 9, 02, 22, 16, 61, 66 Incident Backstretch / Stage 1 Conclusion "
249,EchoPark 250,82,88,Competition,Stage 2 Conclusion
250,EchoPark 250,114,117,Spin,#99 Spin Backstretch
251,EchoPark 250,119,123,Accident,"#10, 51 Incident Turn 1 "
252,EchoPark 250,133,137,Accident,"#8, 39 Incident Turn 4"
253,Alsco Uniforms 300,92,97,Accident,"#54, 99 Incident Turn 4 / Stage 2 Conclusion"
254,Alsco Uniforms 300,100,103,Accident,"#0, 5 Incident Turn 2"
255,Alsco Uniforms 300,121,124,Spin,#10 Spin Turn 4
256,Alsco Uniforms 300,146,150,Debris,Debris
257,Alsco Uniforms 300,152,159,Accident,"#02, 8, 39 Incident Turn 2"
258,Alsco Uniforms 300,183,186,Spin,#99 Spin Turn 2
259,Alsco Uniforms 300,188,193,Accident,"#1, 9, 11, 18, 19, 44, 98 Incident Turn 1"
260,Folds of Honor QuikTrip 500,27,30,Competition,Competition Caution
261,Folds of Honor QuikTrip 500,107,112,Competition,Stage 1 Conclusion
